headline,source,label
Protect Your Shed (dylanbutler.dev),HackerNews,REAL
Slightly safer vibecoding by adopting old hacker habits (addxorrol.blogspot.com),HackerNews,REAL
System Card: Claude Mythos Preview [pdf] (anthropic.com),HackerNews,REAL
"Native Americans had dice 12,000 years ago (nbcnews.com)",HackerNews,REAL
Binary obfuscation used in AAA Games (farzon.org),HackerNews,REAL
GLM-5.1: Towards Long-Horizon Tasks (z.ai),HackerNews,REAL
How to get better at guitar (jakeworth.com),HackerNews,REAL
S3 Files (allthingsdistributed.com),HackerNews,REAL
Cambodia unveils statue to honour famous landmine-sniffing rat (bbc.com),HackerNews,REAL
A truck driver spent 20 years making a scale model of every building in NYC (smithsonianmag.com),HackerNews,REAL
A database of analog cameras that can be 3D printed (analogcamera.space),HackerNews,REAL
Show HN: An interactive map of Tolkien's Middle-earth (middle-earth-interactive-map.web.app),HackerNews,REAL
US and Iran agree to provisional ceasefire (theguardian.com),HackerNews,REAL
Show HN: Brutalist Concrete Laptop Stand (2024) (sam-burns.com),HackerNews,REAL
The Clock (senko.net),HackerNews,REAL
Xilem – An experimental Rust native UI framework (github.com/linebender),HackerNews,REAL
ACE on a USB→HDMI Adapter (blazelight.dev),HackerNews,REAL
Cloudflare targets 2029 for full post-quantum security (cloudflare.com),HackerNews,REAL
A whole boss fight in 256 bytes (111mb.de),HackerNews,REAL
Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon (github.com/mattmireles),HackerNews,REAL
JSIR: A High-Level IR for JavaScript (llvm.org),HackerNews,REAL
LLM scraper bots are overloading acme.com's HTTPS server (acme.com),HackerNews,REAL
Rescuing old printers with an in-browser Linux VM bridged to WebUSB over USB/IP (printervention.app),HackerNews,REAL
The Image Boards of Hayao Miyazaki (animationobsessive.substack.com),HackerNews,REAL
Bitcoin and quantum computing (nehanarula.org),HackerNews,REAL
Google open-sources experimental agent orchestration testbed Scion (infoq.com),HackerNews,REAL
Running out of disk space in production (alt-romes.github.io),HackerNews,REAL
A blind man made it possible for others with low vision to build Lego sets (apnews.com),HackerNews,REAL
