headline,url,content,source,label
"2
Americans react to Trump's 'a whole civilisation will die tonight' warning",https://www.bbc.com/news/videos/c0krp3mpxg5o,,BBC,REAL
Design Your Ultimate Bizarre Snack Platter And We'll Tell You What Gen Z Archetype You Truly Are,https://www.buzzfeed.com/arsheenkaur44/build-your-dream-unhinged-snack-plate-and-well-tell-you,,BuzzFeed,FAKE
"Vietnam's leader To Lam strengthens power in unanimous assembly vote
Vietnam's communist party chief is now also the country's president - an unusual concentration of power.
18 hrs ago
Asia",https://www.bbc.com/news/articles/ckgwkmn1rzxo,"Vietnam's communist-dominated general assembly has elected To Lam, the party leader, to be the country's president and head of state, an unusual concentration of power in one person. He was elected unanimously by the 500 seat assembly which started sitting on Monday, following the Communist Party Congress in January, which makes all the big decisions about the country's future direction. This makes To Lam the most powerful leader in Vietnam in recent decades. To Lam rose over the last decade by serving as the powerful Minister for Public Security, enforcing a nationwide anti-corruption drive which saw many of his potential rivals disgraced and purged. In 2024, he took over the jobs of both general secretary of the communist party and president temporarily, after the resignation of then-president Vo Van Thuong and the death of party boss Nguyen Phu Trong. There is reported to be opposition, especially within the military, to To Lam keeping these two top jobs after the party congress. The Communist Party of Vietnam has always preferred collective leadership shared among the four most senior national positions, now expanded to five, known as the ""five pillars"". However, To Lam has now secured enough backing to take the two top jobs for the next five years, inviting comparisons with China, where President Xi Jinping has also concentrated power in his hands. Xi congratulated To Lam in January, when he successfully retained his job as secretary general of Vietnam's communist party. Xi said at the time that he would work with To Lam to ""carry forward the traditional friendship"" between the two socialist neighbours. There is historical anti-Chinese sentiment expressed by the Vietnamese population, but relations between the two communist parties are close. Compared to China, however, the communist party's central committee plays a stronger role in checking the power of its secretary general, Carl Thayer, Emeritus Professor at the University of New South Wales, told the BBC. ""To Lam is the first among equals, but he's also answerable to the Politburo,"" he said, pointing to other senior figures in the 19-member committee. ""There's still a balance. But To Lam has shown that he can work collectively and build coalitions,"" he added. The real test of To Lam's leadership, though, will be whether he can meet the breathtakingly ambitious growth targets he has set his government, at a time when the global economic outlook is so unsettled. To Lam has already announced a programme of sweeping reforms to help Vietnam reach the goal of being an upper income country within the next two decades. He has set a target of keeping annual economic growth at more than 10%, and containing corruption, building on the ""blazing furnace"" campaign started by his predecessor that has disciplined and dismissed tens of thousands of officials. Additional reporting by Thuong Le in Bangkok",BBC,REAL
"Bill Gates set to testify before US Congress in Epstein investigation
The Microsoft co-founder is the latest high-profile figure to agree to testify before the committee investigating Epstein's wrongdoing.
11 hrs ago
US & Canada",https://www.bbc.com/news/articles/cx2vdekdweqo,"Microsoft co-founder Bill Gates is set to testify before the US congress in June about his interactions with convicted sex offender Jeffrey Epstein, lawmakers have confirmed. The billionaire philanthropist is the latest high-profile figure to agree to testify before the House Oversight Committee investigating Epstein's wrongdoing. Gates was ""looking forward to answering all the committee's questions to support their important work"", a spokesperson told the BBC. The hearing is scheduled for 10 June. Gates has not been accused of misconduct by any of Epstein's victims, and his inclusion in investigative files does not imply any criminal activity. Details about Gates' communications and relationship with Epstein were included in more than three million documents released earlier this year by the justice department. The department has released millions of documents, but millions more remain undisclosed. Last November, Trump signed legislation passed by Congress requiring the justice department to release all material from its investigations into Epstein which is how details of Gates' connection became public. The philanthropist addressed his links to the convicted sex offender during a meeting with staff from his charitable foundation and ""took responsibility for his actions"". ""Bill spoke candidly, addressing several questions in detail,"" the Gates Foundation said in a statement. The Wall Street Journal reported that Gates apologised to staff, said he had two affairs with Russian women which Epstein later found out about, and in relation to the late financier said: ""I did nothing illicit. I saw nothing illicit."" Earlier this year, Gates, in an interview with 9News in Australia spoke publicly about his ties with Epstein, saying his interactions were limited to dinners and that he did not visit Epstein's island. ""Every minute I spent with him I regret and I apologise that I did that,"" Gates said. In a statement to the BBC, a spokesperson for Gates later said the Microsoft co-founder had never attended parties with the late financier and had no involvement in illegal activities associated with Epstein. ""While Mr Gates acknowledges that meeting with Epstein was a serious error in judgment, he unequivocally denies any improper conduct related to Epstein and the horrible activities in which Epstein was involved,"" the statement said. The House Oversight Committee issued a letter on 3 March requesting Gates' testimony which comes amid other high-profile testimony. Former President Bill Clinton and his wife, former Secretary of State Hillary Clinton, appeared before the committee in February. Commerce Secretary Howard Lutnick and former Attorney General Pam Bondi are expected to testify in the coming weeks.",BBC,REAL
Your Personality Will Reveal The Unusual Beauty Treatment That's Perfect For You,https://www.buzzfeed.com/kanksharaina/unconventional-beauty-treatment-based-on-your-personality,,BuzzFeed,FAKE
8 Tropes I Have Come Across On Wattpad That Have Me Physically Recoiling,https://www.buzzfeed.com/tanishtha_kotian/8-tropes-on-wattpad-that-have-me-revolted,,BuzzFeed,FAKE
Medieval Castles Have The Most Disturbing Histories And I'm Literally Shaking After Reading These Stories,https://www.buzzfeed.com/tanishtha_kotian/12-absolutely-bone-chilling-medieval-castle-tales,,BuzzFeed,FAKE
"From First Nominations To Snubs, The 2025 Emmy Nominations Are Quite Eventful",https://www.buzzfeed.com/tanishtha_kotian/8-emmy-nomination-moments-that-made-me-gasp-scream,,BuzzFeed,FAKE
The Image Boards of Hayao Miyazaki,https://animationobsessive.substack.com/p/the-image-boards-of-hayao-miyazaki,,HackerNews,REAL
"8 Times Jonathan Bailey Was So Adorably Chaotic Online, He Deserves To Be Protected At All Costs",https://www.buzzfeed.com/tanishtha_kotian/these-8-chaotic-yet-cute-internet-moments-of-jonathan,,BuzzFeed,FAKE
Cloudflare targets 2029 for full post-quantum security,https://blog.cloudflare.com/post-quantum-roadmap/,,HackerNews,REAL
The Brutal Truth About What It Would Actually Cost To Live 'Comfortably' In San Francisco,https://www.buzzfeed.com/tanishtha_kotian/this-estimate-of-one-day-in-san-francisco-is-expensive,,BuzzFeed,FAKE
Project Glasswing: Securing critical software for the AI era,https://www.anthropic.com/glasswing,,HackerNews,REAL
The Internet Is Blowing Up Over Ranveer Singh Romancing 20-Year-Old Sara Arjun In 'Dhurandhar',https://www.buzzfeed.com/arsheenkaur44/bollywoods-age-gap-trope-is-back-thanks-to-ranveer-singhs,,BuzzFeed,FAKE
"You can hire house help in 15 minutes in India. But is the system fair?
Instant house help brings speed and structure, but workers face tighter control and rising pressure in their jobs.
2 days ago
Asia",https://www.bbc.com/news/articles/c98megy6r1mo,"On a Tuesday afternoon in Noida, near the Indian capital Delhi, Seema Kumari* arrives in a purple T-shirt and gets straight to work. Kitchen counters are wiped, the balcony scrubbed, bedsheets straightened and the floor mopped. Within 55 minutes, the home is cleaned and in order. Seema works with Urban Company, an app that lets customers book at-home services - from cleaning to beauty treatments - sometimes in as little as 15 minutes. In India, domestic help has long been arranged through word of mouth, with workers hired informally and paid in cash. Now, startups are bringing these services online, offering on-demand bookings in cities for short tasks. They are entering a vast, largely unregulated market - with an estimated 30 million domestic workers, including many women with few formal job options. Pronto, launched last year, says it has scaled to 15,000 bookings a day in just 10 months, with demand highest in Delhi and nearby cities, followed by Mumbai and Bengaluru. In India, domestic work is low-paid, insecure and largely unregulated, as it takes place inside private homes. Companies like Urban Company and Pronto say they are trying to formalise the sector with training, standardised pricing and digital payments. For workers, this brings new opportunities - but also new pressures and control. Before joining the platform, Seema worked at a garment factory, earning between 10,000 ($108; £81) and 14,000 rupees a month. She left the job last year after hearing that Urban Company was hiring. ""I now make around 20,000 rupees a month,"" she says, adding that the income helps her support her two children. But the new system brings pressures she never faced before. After each job, she asks for a good rating - crucial for future work. A low score can reduce her visibility or bookings, she says. Unlike traditional arrangements, platform work is governed by algorithms that assign jobs, track performance and impose penalties. But traditional domestic work is far from ideal. Inside private homes, the work can sometimes mean long hours, unclear duties, delayed pay and even abuse, with little protection. The informality of the arrangement leaves workers vulnerable. Seema says she earns about 25,000 rupees a month on paper, but takes home less after fines for cancellations, low ratings and delays. ""I have made the full amount only once, when I did not take any leave and worked for at least eight hours everyday."" Delays beyond her control can also cost her. ""We often have to walk from one location to another. Sometimes security guards hold us up at the gate while they verify our entry into the building,"" she says. ""That makes us late and then we are penalised - even if it is by five minutes."" Another user in Gurgaon, speaking on condition of anonymity, said her home-service maid arrived slightly late and was fined 10 rupees by the provider - something the maid showed her on the app. The BBC contacted Urban Company, which did not comment on late penalties. Pronto said it does not penalise workers for late arrivals. Reviews add another layer of pressure. A helper who broke a curtain rod urged the user to not give her a ""negative rating"". ""It will hurt my prospects,"" she said. Labour rights activists argue that such time-bound expectations can be unrealistic. ""It is inhuman to expect that someone can simply be summoned within 15 minutes,"" says activist Akriti Bhatia. ""These are people, not automated systems."" The pressure is not just about speed - it affects pay too. Platforms vary from fixed incomes to per-task models with incentives, making earnings unpredictable and shaped by ratings and algorithms. Pronto founder Anjali Sardana says her startup aims to formalise the sector with direct bank salary payments and health and accident insurance. But critics remain sceptical. Bhatia says that while payments are formalised, workers still lack basic rights like paid leave and pensions. With little unionisation, most lack bargaining power. The platforms say they have grievance redressal systems in place and offer quick support to their staff if they are stuck in a hostile situation. Even so, these measures do little to change the everyday realities of the work itself, which can often be difficult. In Hyderabad, Amrutha* finishes a cleaning job and declines a glass of water. She says she avoids drinking during shifts, unsure she'll find a toilet between bookings. In many Indian homes, domestic workers are discouraged from using the employer's bathroom. Companies say they provide service hubs with restrooms, but workers often don't know. Between jobs, they wait in public spaces - parks, staircases, or bus stops. This downtime they once relied on is also disappearing. As demand has grown, workers say, their breaks have steadily shrunk. ""There are days when I don't even get time to eat. It has started taking a toll on my health,"" Seema says. That trade-off between flexibility and pressure is not new. It has played out when ride-hailing services like Uber and gig platforms like Zomato first came in India. ""We've seen this pattern before,"" says Bhatia. ""Many venture-funded platforms initially offer higher pay and discounts to attract users and workers. Over time, that balance shifts."" While instant home services are gaining popularity among younger urban users, some households remain hesitant. Sushma, a Delhi resident, says she was unsure when her children first booked an app-based cleaner after their regular help did not show up. ""I do not know the person,"" she says. ""How do I let them into my house?"" She also worried about how her regular househelp might feel. Her hesitation reflects a broader concern about what these platforms mean for long-standing relationships between households and their domestic workers. As these services grow, they are reshaping not just how work is arranged, but how it is experienced - on both sides. Back in Noida, Seema checks her phone as another booking comes in. ""The work is tough and I am looking for other opportunities. But for now, it helps me take care of my children, so I'll keep going."" Follow BBC News India on Instagram, YouTube, X and Facebook.",BBC,REAL
Anthropic's Claude Mythos AI Exposes Critical Software Security Flaws,https://www.ndtv.com/world-news/anthropics-claude-mythos-ai-exposes-critical-software-security-flaws-11325794,,NDTV,REAL
10 TV Shows With Badass Women Who Will Make You Feel Like You Can Conquer The World,https://www.buzzfeed.com/kanksharaina/10-tv-shows-with-powerful-female-leads-that-are-the-perfect,,BuzzFeed,FAKE
Your 8-Course Meal Choices Will Determine Which 'Modern Family' Character Lives Inside Your Soul,https://www.buzzfeed.com/tanishtha_kotian/eat-this-8-course-meal-and-find-your-modern-family-persona,,BuzzFeed,FAKE
"17 Products Under ₹1,000 That'll Definitely Help You Fulfill Your 2022 Workout Resolution",https://www.buzzfeed.com/shreyamali/home-workout-products-for-2022?origin=hshp,,BuzzFeed,FAKE
JSIR: A High-Level IR for JavaScript,https://discourse.llvm.org/t/rfc-jsir-a-high-level-ir-for-javascript/90456,,HackerNews,REAL
Prada Sent Kolhapuris Down The Runway Without Any Credit And We Need To Talk About This Cultural Theft,https://www.buzzfeed.com/arsheenkaur44/kolhapuris-walked-the-prada-runway-but-got-zero-credit-lets,,BuzzFeed,FAKE
18 Posts That Prove Not Everyone On The Internet Is A Complete Garbage Human,https://www.buzzfeed.com/tanishtha_kotian/18-wholesome-posts-that-made-me-ugly-cry-in-the-best-way,,BuzzFeed,FAKE
System Card: Claude Mythos Preview [pdf],https://www-cdn.anthropic.com/53566bf5440a10affd749724787c8913a2ae0841.pdf,,HackerNews,REAL
Mum of twins who says home was bombed in Lebanon speaks to BBC,https://www.bbc.com/news/videos/c5yx8my3724o,,BBC,REAL
"Artemis II Crew, ISS Astronauts Speak On First Ship-To-Ship Space Call",https://www.ndtv.com/world-news/artemis-ii-moon-mission-moon-crew-iss-astronauts-speak-on-first-ship-to-ship-space-call-11326670,,NDTV,REAL
How to get better at guitar,https://www.jakeworth.com/posts/how-to-get-better-at-guitar/,,HackerNews,REAL
Trump's Iran Ceasefire: Everyone's Relaxed Except Gold. What Does It Know?,https://www.ndtv.com/world-news/gold-silver-rates-trumps-iran-ceasefire-everyones-relaxed-except-gold-what-does-it-know-11326635,,NDTV,REAL
"17 Wholesome Posts That Will Definitely Restore Your Faith In Humanity
My heart is so full.:’)",https://www.buzzfeed.com/mugdhakusray1/17-photos-that-will-brighten-your-day,,BuzzFeed,FAKE
"Trump's deadline looms but Asian nations already have deals with Iran
Nations in the region have been keen to reach agreements as their economies are heavily reliant on Middle East energy.
1 day ago
Business",https://www.bbc.com/news/articles/c79jqx1xdy9o,"On Monday, US President Donald Trump threatened to take out Iran ""in one night"" if it failed to agree a deal by 20:00 Washington DC time on Tuesday (00:00GMT Wednesday) to reopen the Strait of Hormuz. But even before his latest threat some countries had secured deals with Tehran for their vessels to use the key shipping route. Asian nations - most recently the Philippines - have been particularly keen to reach agreements as their economies are heavily reliant on energy from the Gulf. The critical route has become a global flashpoint after Tehran retaliated to US and Israeli airstrikes by threatening to attack ships in the strait. Oil prices have surged since the disruption to shipping in the narrow waterway, through which a fifth of the world's energy shipments usually transits. Last week, Trump said the US did not need the Gulf's oil. He has repeatedly urged countries reliant on the region's energy to send warships to the strait and to take the lead to ensure shipments can resume. In recent weeks - several Asian countries including Pakistan, India and the Philippines - have made agreements with Tehran to let some ships pass through the strait safely. China has also acknowledged that their vessels have also used the channel. Questions remain over the scope of these assurances and just how lasting these agreements with Iran will be. We still don't know whether the guarantees apply only to some ships or all vessels flagged under a certain country, said Dimitris Maniatis from shipping consultancy Marisks. Nevertheless, countries that need the Gulf's energy are now recognising that they must engage with Iran if they want to resume shipments, said Roc Shi from the University of Technology Sydney. The Philippines is the latest nation to strike a deal with Iran. Iranian officials assured the ""safe, unhindered and expeditious passage"" for Philippines-flagged ships through the waterway, said Theresa Lazaro, the South East Asian country's foreign affairs secretary. She said the agreement - reached after ""a very productive phone conversation"" with Tehran on Thursday - was ""vital"" in helping to ensure energy and fertiliser supplies. The Philippines imports 98% of its oil from the Middle East and was the first country to declare a national energy emergency after petrol prices in the country more than doubled after the start of the Iran war. There remains uncertainty over Tehran's claim that the strait is open to all countries except the US and its allies, said Roger Fouquet from the National University of Singapore's Energy Studies Institute. The Philippines, often seen as a US ally, is an interesting case that could suggest that Iran is ""willing to compartmentalise"", he said. ""Iran appears to be distinguishing between a country's alliance and its active participation in the conflict."" Other countries have also held talks with Iran. Pakistan announced on 28 March that Iran has agreed to let 20 of its ships pass through the Strait of Hormuz. ""This is a welcome and constructive gesture by Iran and deserves appreciation,"" said Pakistani Foreign Minister Ishaq Dar. ""Dialogue, diplomacy and such confidence-building measures are the only way forward."" Iran has openly welcomed India-flagged ships crossing the strait. ""Our Indian friends are in safe hands, no worries,"" the Iranian Embassy in India posted on X last week. The embassy was responding to another post by its offices in South Africa saying that ""only Iran and Oman"" will decide the future of the Strait of Hormuz. India's foreign minister Subrahmanyam Jaishankar told the Financial Times in March that the passage of its tankers was the result of diplomacy. China, the biggest buyer of Iranian oil, also confirmed last week that some of its ships had crossed the strait, although it did not mention Iran or give more details on the vessels. ""Following coordination with relevant parties, three Chinese vessels recently transited the Strait of Hormuz. We express our gratitude to the relevant parties for the assistance provided,"" a foreign ministry spokeswoman told reporters. Vessel-tracking data show that despite the war millions of barrels of US-sanctioned Iranian oil have been delivered to China in recent weeks. Beijing holds friendly diplomatic ties with Tehran and has joined Pakistan in trying to broker a ceasefire between the US and Iran. It is uncertain under what conditions some ships have negotiated safe passage - and whether they paid to cross the strait. Over the weekend, a Japanese vessel carrying liquefied natural gas passed through the Strait of Hormuz, shipping firm Mitsui OSK Lines told the BBC. ""The safety of the vessel and all crew members have been confirmed,"" said the company, without commenting on whether any tolls were paid and how the crew secured safe passage. In March, Malaysia also said some of its tankers have been cleared by Tehran to pass through the strait, with Prime Minister Anwar Ibrahim thanking Iran's president for facilitating the passage of its vessels. Anthony Loke, Malaysia's transport minister, credited ""good diplomatic relationship with the Iranian government"", local media reported. It is unclear if other Malaysian-flagged vessels will be granted the same assurances. Roughly two-thirds of Malaysia's oil imports come from the Gulf. The implications of these deals for other countries are still uncertain. For instance, whether other countries would switch their flags to those of countries being allowed to pass though. Many tankers currently carry the flags of countries such as Panama and the Marshall Islands, which have not secured assurances of safe passage, Maniatis said. Energy economist Shi noted, however, that while these agreements mark a ""diplomatic breakthrough"", it is not a resolution to the problem. It is still unknown just how lasting these assurances will be and how military operations in the region will impact them, he said.",BBC,REAL
"How Pakistan helped secure a fragile ceasefire between the US and Iran
Pakistan has a historic relationship with Iran, but an agreement was far from certain, writes the BBC’s Caroline Davies",https://www.bbc.com/news/articles/cj401qvgg19o,"In the hours before the two-week ceasefire between Iran and the US was announced, there were some small signs of hope from Pakistan. Speaking anonymously, a Pakistan source told the BBC that the talks continued ""at pace"", with Pakistan operating as an intermediary between Iran and the US. Those conducting the negotiations from Pakistan's side consisted of ""a very small circle"" and that the mood was ""sombre and serious but still hopeful that a cessation of hostilities will be the outcome. There are a few hours left."" The source said they were not part of that small circle. Pakistan has acted as an intermediary between Iran and the US over the last few weeks, passing messages between the two. It has a historic relationship with Iran, a shared border and regularly refers to its ""brotherly"" relationship with the country. As for the US relationship, President Trump has referred to the head of Pakistan's armed forces, Field Marshall Asim Munir, as his ""favourite"" Field Marshall and said that he knows Iran ""better than most"". An agreement was far from certain. Speaking in parliament on Tuesday night, Pakistan's Foreign Minister Ishaq Dar said: ""Until yesterday we were very optimistic that things are moving in a positive direction,"" before Israel launched an attack on Iran on Monday and Iran attacked Saudi Arabia. Pakistan he said ""was still trying to manage things as much as possible"". Field Marshall Munir was even more overtly critical. Speaking to military officials on Tuesday, he said the attack on Saudi Arabia ""spoils sincere efforts to resolve the conflict through peaceful means"". This was some of the strongest language used by Pakistan towards Iran since the conflict began. Some analysts suggested that this could add to the pressure on Iran. Pakistan has a defence pact with Saudi Arabia, which has currently not been invoked, despite repeated attacks on Saudi Arabia. After midnight in Pakistan, the country's Prime Minister posted on X that ""diplomatic efforts… are progressing steadily, strongly and powerfully with the potential to lead to substantive results in near future"" and asked President Trump to extend the deadline for two weeks and for Iran to open the Strait of Hormuz for the same period. Iran's ambassador to Pakistan, Reza Amiri Moghadam, posted on X around 03:00 local time (midnight BST) that there had been ""a step forward from critical, sensitive stage"". Just before 05:00, Pakistan's Prime Minister announced that a ceasefire had been agreed and invited the two sides to meet in Islamabad on Friday, 10 April to ""further negotiate for a conclusive agreement"". ""We are still being very circumspect,"" the Pakistan source told the BBC, saying that there was a ""continued fragility"" to the situation. There is still no trust between the two sides, with strongly entrenched positions. While Pakistan may yet host both at a table the question is what can they find to agree on.",BBC,REAL
Nitesh Tiwari's 'Ramayana' Just Dropped Its First Look And It Is Perfect,https://www.buzzfeed.com/kanksharaina/the-first-glimpse-of-nitesh-tiwaris-ramayana-is-out-and-it,,BuzzFeed,FAKE
The Labubu Craze Is Still Going Strong And These 25 Memes Are Absolutely Sending Me,https://www.buzzfeed.com/arsheenkaur44/labubu-memes-and-tweets-are-still-going-strong-and-these,,BuzzFeed,FAKE
