title,label,clean_title
"You can hire house help in 15 minutes in India. But is the system fair?
Instant house help brings speed and structure, but workers face tighter control and rising pressure in their jobs.
2 days ago
Asia",1,hire hous help minut india system fair instant hous help bring speed structur worker face tighter control rise pressur job day ago asia
Anthropic's Claude Mythos AI Exposes Critical Software Security Flaws,1,anthrop claud mytho expos critic softwar secur flaw
10 TV Shows With Badass Women Who Will Make You Feel Like You Can Conquer The World,0,show badass women make feel like conquer world
Your 8-Course Meal Choices Will Determine Which 'Modern Family' Character Lives Inside Your Soul,0,cours meal choic determin modern famili charact live insid soul
"17 Products Under ₹1,000 That'll Definitely Help You Fulfill Your 2022 Workout Resolution",0,product thatll definit help fulfil workout resolut
JSIR: A High-Level IR for JavaScript,1,jsir highlevel javascript
Prada Sent Kolhapuris Down The Runway Without Any Credit And We Need To Talk About This Cultural Theft,0,prada sent kolhapuri runway without credit need talk cultur theft
18 Posts That Prove Not Everyone On The Internet Is A Complete Garbage Human,0,post prove everyon internet complet garbag human
System Card: Claude Mythos Preview [pdf],1,system card claud mytho preview pdf
Mum of twins who says home was bombed in Lebanon speaks to BBC,1,mum twin say home bomb lebanon speak bbc
"Artemis II Crew, ISS Astronauts Speak On First Ship-To-Ship Space Call",1,artemi crew iss astronaut speak first shiptoship space call
How to get better at guitar,1,get better guitar
Trump's Iran Ceasefire: Everyone's Relaxed Except Gold. What Does It Know?,1,trump iran ceasefir everyon relax except gold know
"17 Wholesome Posts That Will Definitely Restore Your Faith In Humanity
My heart is so full.:’)",0,wholesom post definit restor faith human heart full
"Trump's deadline looms but Asian nations already have deals with Iran
Nations in the region have been keen to reach agreements as their economies are heavily reliant on Middle East energy.
1 day ago
Business",1,trump deadlin loom asian nation alreadi deal iran nation region keen reach agreement economi heavili reliant middl east energi day ago busi
"How Pakistan helped secure a fragile ceasefire between the US and Iran
Pakistan has a historic relationship with Iran, but an agreement was far from certain, writes the BBC’s Caroline Davies",1,pakistan help secur fragil ceasefir iran pakistan histor relationship iran agreement far certain write bbc carolin davi
Nitesh Tiwari's 'Ramayana' Just Dropped Its First Look And It Is Perfect,0,nitesh tiwari ramayana drop first look perfect
The Labubu Craze Is Still Going Strong And These 25 Memes Are Absolutely Sending Me,0,labubu craze still go strong meme absolut send
"LIVE
Iran and US agree to conditional two-week ceasefire and opening of Hormuz strait
Pakistan says it will host talks between the two sides on Friday. Israel says it supports the ceasefire but it ""does not include Lebanon"".",1,live iran agre condit twoweek ceasefir open hormuz strait pakistan say host talk two side friday israel say support ceasefir includ lebanon
US and Iran agree to provisional ceasefire,1,iran agre provision ceasefir
"4
Earthset and a solar eclipse: Nasa releases first images from Moon fly-by",1,earthset solar eclips nasa releas first imag moon flybi
Build Your Perfect Partner And We'll Guess Your Love Language,0,build perfect partner well guess love languag
Lindsay Lohan's 'Pink Slip' Just Performed At Disneyland And My Inner Teen Is Absolutely Screaming,0,lindsay lohan pink slip perform disneyland inner teen absolut scream
"Nine policemen sentenced to death in India over Covid custody killings
The father and son died in jail after being arrested on suspicion of breaching Covid lockdown rules in 2020.
1 day ago
Asia",1,nine policemen sentenc death india covid custodi kill father son die jail arrest suspicion breach covid lockdown rule day ago asia
This McDonald's In Budapest Transforms Into A Full-On Nightclub And I'm Spiraling,0,mcdonald budapest transform fullon nightclub spiral
"I Tested Zudio Makeup Products So You Don't Have To, And Honestly Some Are Surprisingly Worth Every Penny",0,test zudio makeup product dont honestli surprisingli worth everi penni
9 Times Justin Bieber Reminded Us That Being A Husband Isn’t Exactly His Strong Suit,0,time justin bieber remind husband isnt exactli strong suit
Tributes after British teenager dies while visiting Vietnam,1,tribut british teenag die visit vietnam
"Rupee Surges 50 Paise Against US Dollar In Early Trade After US, Iran Truce",1,rupe surg pais dollar earli trade iran truce
Assemble Your Perfect Indian 'Brooklyn Nine-Nine' Squad And We'll Guess The Episode You Can't Stop Quoting,0,assembl perfect indian brooklyn ninenin squad well guess episod cant stop quot
I Switched From An Indian School To An American School For 6 Years—Here Are 13 Things That Gave Me A Major Culture Shock,0,switch indian school american school yearsher thing gave major cultur shock
"Iranians form human chains at bridges and power plants
Tehran had urged people to gather outside potential US and Israeli targets after Donald Trump threatened to attack civilian infrastructure.
10 hrs ago
World",1,iranian form human chain bridg power plant tehran urg peopl gather outsid potenti isra target donald trump threaten attack civilian infrastructur hr ago world
US-Israel-Iran War LIVE,1,usisraeliran war live
21 Beauty Products BuzzFeed India Readers Loved Buying In 2021,0,beauti product buzzfe india reader love buy
AI Vs Local | Mumbai Matcha Drinks,0,local mumbai matcha drink
A whole boss fight in 256 bytes,1,whole boss fight byte
"If You're A K-Beauty Enthusiast, You'll Definitely Be Able To Name These Makeup Brands From A Single Image",0,your kbeauti enthusiast youll definit abl name makeup brand singl imag
"Watch: Artemis II's historic lunar flyby... in 90 seconds
The four astronauts in the Orion spacecraft set a new record for distance travelled from Earth.
19 hrs ago
US & Canada",1,watch artemi ii histor lunar flybi second four astronaut orion spacecraft set new record distanc travel earth hr ago canada
"Social Media Has Completely Transformed How We Consume, And It's Not Just About Matcha Getting Sold Out",0,social media complet transform consum matcha get sold
"Why the Strait of Hormuz matters so much in the Iran war
Tehran says it has agreed to open the Strait of Hormuz for two weeks ""if attacks against Iran are halted"".",1,strait hormuz matter much iran war tehran say agre open strait hormuz two week attack iran halt
"Top Australian soldier charged with war crimes to remain in jail after bail hearing
Ben Roberts-Smith faces five charges of the war crime of murder, which has a penalty of life in prison.
3 hrs ago
World",1,top australian soldier charg war crime remain jail bail hear ben robertssmith face five charg war crime murder penalti life prison hr ago world
Who *Had* The Best Zepto Cafe Order?,0,best zepto cafe order
Stephen Colbert’s Late Show Is Getting Canceled And These 11 Hilarious Moments Prove Why I'll Miss It,0,stephen colbert late show get cancel hilari moment prove ill miss
French couple leave Iran after more than three years in jail,1,french coupl leav iran three year jail
"India's high-growth economy gets a Middle East oil shock
India's currency, stocks and growth projections take a beating as the country faces a triple energy shock due to Iran war.
1 day ago
World",1,india highgrowth economi get middl east oil shock india currenc stock growth project take beat countri face tripl energi shock due iran war day ago world
7 Fabulous LGBTQ+ Owned Restaurants In India That Deserve All Your Money Right Now,0,fabul lgbtq own restaur india deserv money right
"Your ""Criminal Minds"" Episode Choices Will Reveal Which BAU Agent Would Be Your Perfect Partner",0,crimin mind episod choic reveal bau agent would perfect partner
Survive The Apocalypse And We’ll Reveal Exactly How Your Friend Group Will Betray You,0,surviv apocalyps well reveal exactli friend group betray
"6
Trump threatens to take out Iran in 'one night' if no deal before deadline",1,trump threaten take iran one night deal deadlin
21 Gadgets That BuzzFeed India Readers Could Not Get Enough Of In 2021,0,gadget buzzfe india reader could get enough
Who Has The Best Chaayos Order?,0,best chaayo order
"Wireless Festival cancelled after Kanye West blocked from coming to UK
West was due to headline the festival in July but drew criticism over past antisemitic comments.
10 hrs ago
Culture",1,wireless festiv cancel kany west block come west due headlin festiv juli drew critic past antisemit comment hr ago cultur
"Two protests, two elections: How Nepal's Gen Z succeeded where Bangladesh's stumbled
How did a youth movement triumph in one country but fall so short in another?
2 days ago
Asia",1,two protest two elect nepal gen succeed bangladesh stumbl youth movement triumph one countri fall short anoth day ago asia
Native Americans had dice 12k years ago,1,nativ american dice year ago
A truck driver spent 20 years making a scale model of every building in NYC,1,truck driver spent year make scale model everi build nyc
21 Things Under ₹500 That You Should Gift Yourself Before 2021 Ends,0,thing gift end
AI vs Local | Best Indian Chinese,0,local best indian chines
Xilem – An experimental Rust native UI framework,1,xilem experiment rust nativ framework
These 15 Brutal City Roasts By ChatGPT Are The Funniest Thing You’ll Read Today,0,brutal citi roast chatgpt funniest thing youll read today
These Designers Are Making Items Out Of Things You’d Never Expect,0,design make item thing youd never expect
"We're Closer To 2050 Than 2000, And Here Are 61 Moments In Pop Culture The Defined The Past 25 Years",0,closer moment pop cultur defin past year
"Indian migrant workers hit by cooking gas shortages are leaving cities
Migrant workers say they are struggling to access cooking gas cylinders as the Iran war squeezes supplies.
8 hrs ago
World",1,indian migrant worker hit cook ga shortag leav citi migrant worker say struggl access cook ga cylind iran war squeez suppli hr ago world
Lunar Flyby,1,lunar flybi
"21 Kitchen Appliances That Were A Hit Amongst BuzzFeed India Readers In 2021
We really leaned into make our kitchens more efficient this year.",0,kitchen applianc hit amongst buzzfe india reader realli lean make kitchen effici year
Running out of disk space in production,1,run disk space product
LLM scraper bots are overloading acme.com's HTTPS server,1,llm scraper bot overload acmecom server
Slightly safer vibecoding by adopting old hacker habits,1,slightli safer vibecod adopt old hacker habit
Your Superhero Choices Will Expose What Kind Of Evil Villainous Origin Story You'll Have,0,superhero choic expos kind evil villain origin stori youll
"I Was Getting Tired Of Modern Dating, And Then 'Materialists' Came Out And Made Me Feel Again",0,get tire modern date materialist came made feel
"8
The US refinery now processing Venezuelan oil",1,refineri process venezuelan oil
Christopher Nolan Just Announced His Cast For The Odyssey And I'm Literally Having A Film Geek Meltdown Right Now,0,christoph nolan announc cast odyssey liter film geek meltdown right
Video: Employee Starts Massive Fire At California Toilet Paper Warehouse,1,video employe start massiv fire california toilet paper warehous
"Iran ceasefire deal a partial win for Trump - but at a high cost
The path to the two-week ceasefire with Iran may have fundamentally altered the way the rest of the world views the US.",1,iran ceasefir deal partial win trump high cost path twoweek ceasefir iran may fundament alter way rest world view
Google open-sources experimental agent orchestration testbed Scion,1,googl opensourc experiment agent orchestr testb scion
"Fake Australian, Chinese and Brazilian police stations: BBC goes inside a seized scam compound
Almost nothing was known about the Royal Hill casino until the Thai military took control of it in December.
1 day ago
Asia",1,fake australian chines brazilian polic station bbc goe insid seiz scam compound almost noth known royal hill casino thai militari took control decemb day ago asia
Protect Your Shed,1,protect shed
"Chilean woman accused of Pinochet-era kidnaps loses extradition battle
Adriana Rivas moved from Chile to Australia in the 1970s, working there as a nanny and cleaner.
17 hrs ago
World",1,chilean woman accus pinochetera kidnap lose extradit battl adriana riva move chile australia work nanni cleaner hr ago world
"Anna Wintour's Legacy Was Style And Strategy. Now That She's Out, Let's Look At Both",0,anna wintour legaci style strategi she let look
11 Wholesome Behind-The-Scene Facts About 'Panchayat' We Bet You Didn't Know,0,wholesom behindthescen fact panchayat bet didnt know
"WHO suspends Gaza medical evacuations after contractor killed by Israeli troops
Israel's military says troops fired at a vehicle driven by the Palestinian because they believed it posed ""an immediate threat"".
16 hrs ago
Middle East",1,suspend gaza medic evacu contractor kill isra troop israel militari say troop fire vehicl driven palestinian believ pose immedi threat hr ago middl east
"I Watched Indian Content Creators Play The Real-Life Squid Game, And Now Want A Squid-Game Theme Park",0,watch indian content creator play reallif squid game want squidgam theme park
"How China fell for a lobster: What an AI assistant tells us about Beijing's ambition
The AI agent sparked a frenzy of ""raising lobsters"" in March, with users training the tool to suit their needs.
2 days ago
Asia",1,china fell lobster assist tell beij ambit agent spark frenzi rais lobster march user train tool suit need day ago asia
A database of analog cameras that can be 3D printed,1,databas analog camera print
Create Your Own 'Bridgerton' Storyline And We'll Tell You Your 'Bridgerton' Soulmate,0,creat bridgerton storylin well tell bridgerton soulmat
JD Vance backs Orbán's re-election bid in Budapest visit and hits out at EU,1,vanc back orbn reelect bid budapest visit hit
Akshaye Khanna Has Been Underrated For Way Too Long—Let This Quiz Set The Record Straight,0,akshay khanna underr way longlet quiz set record straight
Rescuing old printers with an in-browser Linux VM bridged to WebUSB over USB/IP,1,rescu old printer inbrows linux bridg webusb usbip
Choose Between Iconic Pop Looks And Get A Diet Coke Combo To Sip On,0,choos icon pop look get diet coke combo sip
"What we know about the two-week ceasefire between the US and Iran
The provisional truce comes more than a month after the US and Israel launched coordinated attacks on Iran.",1,know twoweek ceasefir iran provision truce come month israel launch coordin attack iran
Cambodia unveils statue to honour famous landmine-sniffing rat,1,cambodia unveil statu honour famou landminesnif rat
Pick Your Way Through Lewis Hamilton’s Fashion Choices And I’ll Reveal Your True F1 Race Track Energy,0,pick way lewi hamilton fashion choic ill reveal true race track energi
"I Just Found Out Why It’s Called A Tennis Bracelet, And It Is Peak Sports Drama",0,found call tenni bracelet peak sport drama
Did Kerala Techie Fake Trekking Survival Story? Questions Raised In Karnataka,1,kerala techi fake trek surviv stori question rais karnataka
ACE on a USB→HDMI Adapter,1,ace usbhdmi adapt
"22 Wildly Popular Products With Over 1,000 Positive Reviews On Amazon",0,wildli popular product posit review amazon
We Bet You Can't Correctly Define Even Half Of These Grindr Slang Terms,0,bet cant correctli defin even half grindr slang term
"15 Fictional Love Triangles That Made Me Feel Things I'm Not Emotionally Equipped To Handle, Ranked",0,fiction love triangl made feel thing emot equip handl rank
9 Grindr Profiles Every Desi Queer Person Has Come Across,0,grindr profil everi desi queer person come across
Indian & Indian American Voice Note Diet Swap,0,indian indian american voic note diet swap
"Iran Issues 10-Point Ceasefire Conditions, Trump Says ""Plan Workable""",1,iran issu point ceasefir condit trump say plan workabl
'Prudent To Wait And Watch': RBI Keeps Repo Rate Unchanged At 5.25%,1,prudent wait watch rbi keep repo rate unchang
Binary obfuscation used in AAA Games,1,binari obfusc use aaa game
"Emergency jabs after 100 children die of suspected measles in a month in Bangladesh
More than 100 people, mostly children, have been killed by measles since mid-March, officials suspect.
2 days ago
Asia",1,emerg jab children die suspect measl month bangladesh peopl mostli children kill measl sinc midmarch offici suspect day ago asia
Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,1,show gemma multimod finetun appl silicon
"US journalist Shelly Kittleson released after kidnap in Iraq, officials say",1,journalist shelli kittleson releas kidnap iraq offici say
Show HN: An interactive map of Tolkien's Middle-earth,1,show interact map tolkien middleearth
A blind man made it possible for others with low vision to build Lego sets,1,blind man made possibl other low vision build lego set
"13 Wimbledon Facts That Made Me Go Wait, What?",0,wimbledon fact made wait
"Has Artemis II shown we can land on the Moon again?
The Artemis II mission has been near flawless to date, but has the test flight shown Nasa is ready to send humans to the lunar surface?
14 hrs ago
US & Canada",1,artemi shown land moon artemi mission near flawless date test flight shown nasa readi send human lunar surfac hr ago canada
"""Lebanon Not Included In Ceasefire"": Netanyahu Differs From Shehbaz Sharif",1,lebanon includ ceasefir netanyahu differ shehbaz sharif
Design Your Dream Summer Vacation And We'll Reveal Which 'The Summer I Turned Pretty' Character You're Destined For,0,design dream summer vacat well reveal summer turn pretti charact your destin
"Taiwan opposition leader visits China for expected meeting with Xi Jinping
Cheng Li-wun said she ""gladly accepted"" Xi Jinping's invitation and hopes to be a ""bridge for peace"".
22 hrs ago
Asia",1,taiwan opposit leader visit china expect meet jinp cheng liwun said gladli accept jinp invit hope bridg peac hr ago asia
'Back To Stone Ages' To 'Golden Age': Trump's Stark Shift In Tone In Iran War,1,back stone age golden age trump stark shift tone iran war
